acc,chain,code_string,condition,director,ent_type,generation,guess_time,markerPres,model,participant,phase,selected,target,terminator,trial,verb,vid_len,code_len
,chain1,"2hMustache,2hHat,1hHoldPan<shake>,2hHoldPan<shake>*2,1hPour<left>",Transmission + Interaction,B,person,0,,n,,s25,testing,,chef,,,N,,5.0
,chain1,"2hOpenBook,(1hPalm,1hPointatObj<atObj>)+look+nod, 2hDine",Transmission + Interaction,B,loc,0,,n,,s26,testing,,restaurant,,,N,,4.0
,chain1,"2hPan.Outline,2hHoldPan<shake>,(1hHoldPan<shake>,1hStir),2hHoldPan<toss>,2hHoldPan<toss>",Transmission + Interaction,A,obj,0,,n,,s3,testing,,frying pan,,,N,,6.0
,chain1,"2hBowl-Mix,1hPour<left>,1hPour<right>,2hBowl-Mix,2hPush,2hPull",Transmission + Interaction,A,act,0,,n,,s4,testing,,to cook,,,Y,,6.0
,chain1,"2hPray,1hCollar,2hPray,nod",Transmission + Interaction,A,person,0,,n,,s5,testing,,vicar,,,N,,4.0
,chain1,2hPray+bow,Transmission + Interaction,A,loc,0,,n,,s6,testing,,church,,,N,,1.0
,chain1,"2hTurnPage<repeated>,(1hPalm,1hPointatObj<atObj>),2hPray",Transmission + Interaction,B,obj,0,,y,,s31,testing,,bible,,,N,,4.0
,chain1,"1hFingerWag<right,repeated>",Transmission + Interaction,A,act,0,,n,,s8,testing,,to preach,,,Y,,2.0
,chain1,"1hThumbSelf<self-repeated>,Wink+2hCamera<asymm,1Press>",Transmission + Interaction,A,person,0,,y,,s9,testing,,photographer,,,N,,3.0
,chain1,"Look+1hSee,all,2hPalm.Feel<left+right>",Transmission + Interaction,B,loc,0,,n,,s34,testing,,darkroom,,,N,,3.0
,chain1,"2hCamera<symm,pressRepeated*4>,2hCamera,2hLens<twist,repeated>",Transmission + Interaction,B,obj,0,,n,,s35,testing,,camera,,,N,,5.0
,chain1,"2hCamera<asymm,1Press>",Transmission + Interaction,A,act,0,,n,,s12,testing,,to take a photo,,,Y,,2.0
,chain1,"1hSing<right>,1hSing<right>",Transmission + Interaction,A,person,0,,n,,s13,testing,,singer,,,N,,2.0
,chain1,"2hBox,2hSpace,2hSing,2hViolin<play>,2hSpace",Transmission + Interaction,B,loc,0,,y,,s38,testing,,concert hall,,,N,,5.0
,chain1,"Sing+1hMicrophone<hold>,(1hMicrophone<hold>,1hPointatObj<atObj>)",Transmission + Interaction,A,obj,0,,y,,s15,testing,,microphone,,,N,,3.0
,chain1,1hSing,Transmission + Interaction,A,act,0,,n,,s16,testing,,to sing,,,Y,,1.0
,chain1,"1hScissors-Hair<left,repeated>,1hScissors-Hair<beard>,1hScissors-Hair<right>",Transmission + Interaction,A,person,0,,n,,s17,testing,,hairdresser,,,N,,4.0
,chain1,"2hScissors-HoldHair<left>,2hFluff,2hHair.Feel",Transmission + Interaction,B,loc,0,,n,,s42,testing,,hair salon,,,N,,3.0
,chain1,"1hScissors<rightleft>,1hScissors<hold>",Transmission + Interaction,B,obj,0,,n,,s43,testing,,scissors,,,N,,2.0
,chain1,"1hScissors,2hScissors-HoldHair<left>,2hScissors-HoldHair<left>*2",Transmission + Interaction,A,act,0,,n,,s20,testing,,to give a haircut,,,Y,,3.0
,chain1,"Frown+1hPoint.Knock<right>,1hBadge<left>, 1hPoint.Knock<right>,2hHat,1hKnock<right>,1hFist",Transmission + Interaction,A,person,0,,n,,s21,testing,,police officer,,,N,,6.0
,chain1,"1hPalm<rightleft>,2hHoldBars,look,2hHoldBars<shake>",Transmission + Interaction,A,loc,0,,n,,s22,testing,,prison,,,N,,4.0
,chain1,2hFists.wristsX<hold>,Transmission + Interaction,A,obj,0,,n,,s23,testing,,handcuffs,,,N,,1.0
,chain1,"Cry+2hFists.wristsTogether<out>,2hFists.wristsTogether<in>",Transmission + Interaction,B,act,0,,n,,s48,testing,,to make an arrest,,,Y,,2.0
1.0,chain1,"2hBox<full>,2hSing<left>,2hViolin<play>",Transmission + Interaction,A,loc,1,0.376665,y,s38,full1,testing,concert hall,concert hall,matcher,0.0,N,5.94124,3.0
1.0,chain1,"2hFists.wristsX,2hFists.wristsX",Transmission + Interaction,A,obj,1,0.481389,n,s23,full1,testing,handcuffs,handcuffs,matcher,2.0,N,1.807539,2.0
1.0,chain1,"1hknock,1hknock<hold>,2hFists.wristsX,1hpoint<away-left>,2hFists.wristsX,1hpoint<away-left>",Transmission + Interaction,A,act,1,0.33703,n,s48,full1,testing,to make an arrest,to make an arrest,matcher,4.0,Y,4.424938,6.0
1.0,chain1,"2hHoldPan<shake>,(1hHoldPan<shake>,1hPour)",Transmission + Interaction,A,act,1,0.297975,n,s4,full1,testing,to cook,to cook,matcher,6.0,Y,3.45926,3.0
1.0,chain1,"1hCollar<rightleft-leftright>,2hPray,1hCollar<rightleft-leftright>,2hPray",Transmission + Interaction,A,person,1,0.321452,n,s5,full1,testing,vicar,vicar,matcher,8.0,N,3.794709,4.0
1.0,chain1,"2hBox<full>,1hScissors-Hair<right>,2hFluff,1hScissors-Hair<right>,2hBox<full>",Transmission + Interaction,A,loc,1,0.29777,y,s42,full1,testing,hair salon,hair salon,matcher,10.0,N,5.392446,5.0
0.0,chain1,"2hPointSelf<self-repeated>,2hScissors-HoldHair<left>,2hPointSelf<self-repeated>,2hScissors-HoldHair<rightcentre>,2hFluff,2hPointSelf<self-repeated>,1hScissors-HoldHair<left>",Transmission + Interaction,A,person,1,0.392179,y,s17,full1,testing,to give a haircut,hairdresser,matcher,12.0,N,7.890479,7.0
1.0,chain1,"1hPointSelf<self-repeated>,2hCamera<asymm-pressRepeated*3>,(1hPointSelf<self-repeated>,1hThumbSelf<self>,1hC)",Transmission + Interaction,A,person,1,0.512584,y,s9,full1,testing,photographer,photographer,matcher,14.0,N,3.730174,5.0
1.0,chain1,"1hknock<hold>,1hknock,(1hBadge<hold>,1hknock)",Transmission + Interaction,A,person,1,0.58526,n,s21,full1,testing,police officer,police officer,matcher,16.0,N,2.457203,4.0
1.0,chain1,"2hMustache,2hHat",Transmission + Interaction,A,person,1,0.814013,n,s25,full1,testing,chef,chef,matcher,18.0,N,1.735871,2.0
1.0,chain1,"Squint+2hPalmUp.Feel<centreright>,2hPalm.Feel",Transmission + Interaction,A,loc,1,0.37564,n,s34,full1,testing,darkroom,darkroom,matcher,20.0,N,4.332181,2.0
1.0,chain1,2hCamera<asymm-1Press>,Transmission + Interaction,A,act,1,0.525837,n,s12,full1,testing,to take a photo,to take a photo,matcher,22.0,Y,3.023833,1.0
